2022-03-17 15:41:03,924 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2022-03-17 15:41:04,002 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2022-03-17 15:41:04,002 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2022-03-17 15:41:04,002 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2022-03-17 15:41:04,033 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2022-03-17 15:41:04,033 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2022-03-17 15:41:04,080 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2022-03-17 15:46:05,943 INFO  SwAddin.cs: 271 - Assembly export called for file Assem
2022-03-17 15:46:07,027 INFO  SwAddin.cs: 290 - Saving assembly
2022-03-17 15:46:07,077 INFO  SwAddin.cs: 293 - Opening property manager
2022-03-17 15:46:07,087 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from Assem
2022-03-17 15:46:07,087 INFO  ExportHelperExtension.cs: 1142 - Found 30 in Assem
2022-03-17 15:46:07,087 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in Assem
2022-03-17 15:46:07,087 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2022-03-17 15:46:07,102 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2022-03-17 15:46:07,102 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from Mid-2
2022-03-17 15:46:07,102 INFO  ExportHelperExtension.cs: 1142 - Found 24 in Mid-2
2022-03-17 15:46:07,102 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in Mid-2
2022-03-17 15:46:07,102 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from Left-1
2022-03-17 15:46:07,102 INFO  ExportHelperExtension.cs: 1142 - Found 25 in Left-1
2022-03-17 15:46:07,102 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in Left-1
2022-03-17 15:46:07,102 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from Right-1
2022-03-17 15:46:07,102 INFO  ExportHelperExtension.cs: 1142 - Found 25 in Right-1
2022-03-17 15:46:07,102 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in Right-1
2022-03-17 15:46:07,102 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from Assem
2022-03-17 15:46:07,102 INFO  ExportHelperExtension.cs: 1142 - Found 30 in Assem
2022-03-17 15:46:07,102 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in Assem
2022-03-17 15:46:07,102 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2022-03-17 15:46:07,102 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2022-03-17 15:46:07,102 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from Mid-2
2022-03-17 15:46:07,102 INFO  ExportHelperExtension.cs: 1142 - Found 24 in Mid-2
